model,prediction_method,prediction_column,n_rows,actual_sum_kwh,pred_sum_kwh,mean_actual_kwh,mae_kwh,rmse_kwh,wape,mape,bias_kwh_mean_pred_minus_actual,bias_pct_sum_pred_minus_actual
naive_last_day_same_hour,pred_last_day_same_hour_kwh,pred_last_day_same_hour_kwh,696,2070267.1199999999,2056377.6,2974.521724137931,393.7106896551724,721.6893410745995,0.13236100663183986,0.12183929834183035,-19.956206896551723,-0.006709047284680829
naive_last_week_same_hour,pred_last_week_same_hour_kwh,pred_last_week_same_hour_kwh,696,2070267.1199999999,2106645.12,2974.521724137931,384.93620689655177,591.3582100146443,0.129411126425077,0.11946463926957722,52.267241379310356,0.017571645537219377
naive_same_hour_7d_mean,pred_same_hour_7d_mean_kwh,pred_same_hour_7d_mean_kwh,696,2070267.1199999999,2088011.8285714285,2974.521724137931,423.0830541871921,588.2502579907456,0.14223565783834008,0.1382604618155396,25.4952709359606,0.008571216921721957
lightgbm_school_hourly_day_ahead,pred_lightgbm_school_hourly_day_ahead_kwh,pred_lightgbm_school_hourly_day_ahead_kwh,696,2070267.1199999999,2070927.2917012544,2974.521724137931,219.02267034569485,349.39281031352607,0.0736329032557903,0.07004944962464593,0.9485225592737141,0.00031888237748494265
lightgbm_school_hourly_day_ahead_weather,pred_lightgbm_school_hourly_day_ahead_weather_kwh,pred_lightgbm_school_hourly_day_ahead_weather_kwh,696,2070267.1199999999,2032135.6916728218,2974.521724137931,215.94847394753882,367.9681319717937,0.07259939377653209,0.06751515354176639,-54.786534952842416,-0.01841860306759754
lightgbm_school_hourly_day_ahead_weather_academic,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,696,2070267.1199999999,2048032.2537324952,2974.521724137931,200.23228810828698,347.3789683965013,0.06731579281584096,0.06278831791424509,-31.946646936069953,-0.01074009534938887
lightgbm_school_hourly_operational,pred_lightgbm_school_hourly_operational_kwh,pred_lightgbm_school_hourly_operational_kwh,696,2070267.1199999999,2073104.6904574065,2974.521724137931,72.46749147898547,104.4546997019907,0.02436273734056786,0.024054275328019948,4.076969047997985,0.0013706301133771558
