report_date,model,prediction_method,prediction_column,n_rows,actual_sum_kwh,pred_sum_kwh,mean_actual_kwh,mae_kwh,rmse_kwh,wape,mape,bias_kwh_mean_pred_minus_actual,bias_pct_sum_pred_minus_actual
2026-06-06,lightgbm_school_hourly_day_ahead_weather_academic,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,24,59641.92,59867.42373072593,2485.08,133.83571098531164,153.3985821506718,0.053855695182976664,0.054076967710282885,9.395988780247004,0.0037809602830681526
2026-06-07,lightgbm_school_hourly_day_ahead_weather_academic,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,24,58065.84,55799.80149914977,2419.41,106.48924115695002,117.99717683177255,0.044014549479811205,0.044689558752835035,-94.41827086875965,-0.039025328848256255
2026-06-08,lightgbm_school_hourly_day_ahead_weather_academic,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,24,78613.2,77034.55087576694,3275.5499999999997,126.6596184790232,159.16814870043896,0.03866819876937406,0.03859961531835221,-65.77704684304376,-0.020081222036923193
2026-06-09,lightgbm_school_hourly_day_ahead_weather_academic,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,24,76991.76,79032.04675775001,3207.99,107.8084319316875,142.56933672232992,0.03360622443701118,0.03087080806381201,85.01194823958404,0.02650006647139924
2026-06-10,lightgbm_school_hourly_day_ahead_weather_academic,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,24,78500.15999999999,77069.36993458422,3270.8399999999997,73.1954939447363,115.5201903950048,0.02237819457531897,0.020065321401881504,-59.61625272565791,-0.018226587887410547
2026-06-11,lightgbm_school_hourly_day_ahead_weather_academic,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,24,77702.4,78885.96992975948,3237.6,101.62114096219246,127.79423509793303,0.03138779990183854,0.03079649473517911,49.31541373997808,0.015232089739306301
2026-06-12,lightgbm_school_hourly_day_ahead_weather_academic,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,24,77166.72,74279.79996965446,3215.28,130.0107257600828,183.7930904098536,0.04043527336968562,0.03484444325917962,-120.28833459773078,-0.03741146481728832
2026-06-13,lightgbm_school_hourly_day_ahead_weather_academic,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,24,63441.35999999999,60029.322307089395,2643.39,142.16823720460846,166.47743950534107,0.053782543326791915,0.051195078483622626,-142.16823720460846,-0.053782543326791915
2026-06-14,lightgbm_school_hourly_day_ahead_weather_academic,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,24,60075.36,57914.53181289422,2503.14,90.03450779607392,103.76404284557557,0.03596862652351603,0.03454150635436498,-90.03450779607392,-0.03596862652351603
2026-06-15,lightgbm_school_hourly_day_ahead_weather_academic,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,24,83306.88,76781.87596939968,3471.1200000000003,277.48063596969126,365.22473293095817,0.07993979924914472,0.07020494184342492,-271.87516794168005,-0.07832491182721428
2026-06-16,lightgbm_school_hourly_day_ahead_weather_academic,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,24,85548.24,79531.86027490237,3564.51,250.68248854573463,321.47576316894686,0.07032733490598557,0.06369923678834315,-250.68248854573463,-0.07032733490598557
2026-06-17,lightgbm_school_hourly_day_ahead_weather_academic,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,24,86443.92,83384.64590888299,3601.83,129.0391445180981,156.43770037646655,0.03582599526299079,0.034528794965146284,-127.46975379654167,-0.035390274887082865
2026-06-18,lightgbm_school_hourly_day_ahead_weather_academic,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,24,88953.84,85078.88477197799,3706.41,161.45646783425047,177.46868460072739,0.04356141598858477,0.047115467133431434,-161.45646783425047,-0.04356141598858477
2026-06-19,lightgbm_school_hourly_day_ahead_weather_academic,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,24,81813.6,81335.85697566344,3408.9,289.11840850175776,306.84651933201525,0.08481281601154558,0.08855342302117086,-19.905959347356657,-0.005839408415429216
2026-06-20,lightgbm_school_hourly_day_ahead_weather_academic,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,24,57592.8,60359.82922385708,2399.7000000000003,138.49473549353152,172.49029996838001,0.057713353958216244,0.0630667217174636,115.29288432737849,0.048044707391498305
