report_date,overuse_hours,total_exceedance_kwh,max_exceedance_kwh,total_actual_kwh,coverage
2026-06-01,16,9052.065183231354,1094.0174928255065,83738.16,0.20833333333333334
2026-06-02,8,646.2129253384605,265.00363042588515,80763.84,0.5
2026-06-03,3,34.068949060384966,14.532590338872524,62477.28,0.20833333333333334
2026-06-04,19,4508.812400250397,429.08168437649147,85636.08,0.20833333333333334
2026-06-05,7,334.91948887601484,148.01845106080054,80408.16,0.625
2026-06-06,1,0.0402607850410277,0.0402607850410277,59641.92,0.5
2026-06-07,6,249.223230075213,75.23051023220523,58065.840000000004,0.75
2026-06-08,3,64.14181125177902,46.383567286972266,78613.2,0.875
2026-06-09,0,0.0,0.0,76991.76,0.7916666666666666
2026-06-10,1,59.81413129305702,59.81413129305702,78500.16,0.9583333333333334
2026-06-11,0,0.0,0.0,77702.40000000001,1.0
2026-06-12,1,37.61173284922825,37.61173284922825,77166.72,0.9583333333333334
2026-06-13,6,364.82003322121227,108.83817994545143,63441.36,0.75
2026-06-14,2,49.52636665456748,25.8361065180452,60075.36,0.8333333333333334
2026-06-15,6,284.1868806908892,87.46587405344007,83306.88,0.75
2026-06-16,13,2142.3086676249054,420.01124628210346,85548.24,0.4583333333333333
2026-06-17,15,1298.6168376599203,207.59673368963013,86443.92,0.375
2026-06-18,22,2422.4864219164156,333.7436657100552,88953.84,0.08333333333333333
2026-06-19,13,2258.362655322357,377.58731122227437,81813.6,0.16666666666666666
2026-06-20,0,0.0,0.0,57592.8,0.375
