building_name_recent,model,prediction_method,prediction_column,n_rows,actual_sum_kwh,pred_sum_kwh,mean_actual_kwh,mae_kwh,rmse_kwh,wape,nmae,bias_kwh_mean_pred_minus_actual,bias_pct_sum_pred_minus_actual
건축관,naive_seasonal_month_profile,pred_naive_seasonal_kwh,pred_naive_seasonal_kwh,70,72933.0,66689.71666666666,1041.9,222.14796466973883,275.63604574400216,0.21321428608286672,0.2132142860828667,-89.18976190476192,-0.0856029963573874
기계관,naive_seasonal_month_profile,pred_naive_seasonal_kwh,pred_naive_seasonal_kwh,70,136365.0,139739.2333333333,1948.0714285714287,408.65536098310287,494.9843091944373,0.20977432089478387,0.20977432089478384,48.20333333333336,0.024744130336474428
박물관,naive_seasonal_month_profile,pred_naive_seasonal_kwh,pred_naive_seasonal_kwh,70,42142.0,50607.666666666686,602.0285714285715,161.47634408602156,207.33668759418688,0.268220399744234,0.26822039974423395,120.93809523809526,0.20088431177131288
사범대학,naive_seasonal_month_profile,pred_naive_seasonal_kwh,pred_naive_seasonal_kwh,70,65392.0,62466.66666666666,934.1714285714286,167.12012288786482,191.7073133952291,0.17889663264849734,0.17889663264849734,-41.790476190476184,-0.04473533969496778
상경관,naive_seasonal_month_profile,pred_naive_seasonal_kwh,pred_naive_seasonal_kwh,70,145964.0,153300.0,2085.2,490.5410138248848,619.4898793354726,0.23524890361830272,0.23524890361830275,104.79999999999995,0.0502589679647036
생활과학대,naive_seasonal_month_profile,pred_naive_seasonal_kwh,pred_naive_seasonal_kwh,70,77614.0,70820.11666666665,1108.7714285714285,202.36361751152072,242.56742161469631,0.18251157298691537,0.1825115729869154,-97.05547619047618,-0.08753425069360339
섬유관,naive_seasonal_month_profile,pred_naive_seasonal_kwh,pred_naive_seasonal_kwh,70,76228.0,74235.19999999998,1088.9714285714285,171.4500460829493,199.8443182405397,0.1574421895603512,0.15744218956035122,-28.4685714285714,-0.026142624757307
외국어교육원,naive_seasonal_month_profile,pred_naive_seasonal_kwh,pred_naive_seasonal_kwh,70,30950.0,29271.666666666664,442.14285714285717,134.44777265745006,140.92716377260734,0.30408219987145413,0.3040821998714541,-23.97619047619047,-0.05422724824986536
음대,naive_seasonal_month_profile,pred_naive_seasonal_kwh,pred_naive_seasonal_kwh,70,42136.0,42850.0,601.9428571428572,87.63410138248848,111.66925736958518,0.14558541619456505,0.14558541619456505,10.199999999999994,0.016945130055059796
인문계식당,naive_seasonal_month_profile,pred_naive_seasonal_kwh,pred_naive_seasonal_kwh,70,28526.0,19941.66666666667,407.51428571428573,181.23517665130572,208.04798535171966,0.44473330875662204,0.44473330875662204,-122.63333333333331,-0.3009301455981677
전기관,naive_seasonal_month_profile,pred_naive_seasonal_kwh,pred_naive_seasonal_kwh,70,78682.33333333334,71819.08333333337,1124.0333333333335,195.88721198156682,241.95516763166654,0.1742717107869578,0.1742717107869578,-98.04642857142855,-0.08722733184492916
제1공장형실습장,naive_seasonal_month_profile,pred_naive_seasonal_kwh,pred_naive_seasonal_kwh,70,55797.0,55083.333333333314,797.1,121.59831029185867,151.8770753989753,0.1525508848223042,0.1525508848223042,-10.195238095238134,-0.012790412865685778
제1과학관,naive_seasonal_month_profile,pred_naive_seasonal_kwh,pred_naive_seasonal_kwh,70,183967.68181818182,185147.4166666666,2628.10974025974,351.92593562351624,469.89515172858836,0.13390838678933353,0.13390838678933356,16.853354978355096,0.0064127287838024035
제2공장형실습장,naive_seasonal_month_profile,pred_naive_seasonal_kwh,pred_naive_seasonal_kwh,70,29283.0,25811.66666666667,418.3285714285714,139.5268817204301,160.21394010891416,0.3335341911836256,0.3335341911836256,-49.590476190476195,-0.11854432036790402
제2인문관,naive_seasonal_month_profile,pred_naive_seasonal_kwh,pred_naive_seasonal_kwh,70,17786.0,19248.51666666667,254.0857142857143,44.89996159754224,56.70433278421338,0.17671186955065538,0.17671186955065538,20.89309523809524,0.08222853180404063
제3과학관,naive_seasonal_month_profile,pred_naive_seasonal_kwh,pred_naive_seasonal_kwh,70,62772.0,65883.33333333334,896.7428571428571,155.39170506912444,200.11352461604133,0.1732845752061223,0.17328457520612234,44.447619047619014,0.049565623738821944
화공관,naive_seasonal_month_profile,pred_naive_seasonal_kwh,pred_naive_seasonal_kwh,70,176969.0,160066.6666666667,2528.1285714285714,343.16420890937025,398.64836773245435,0.13573843228845683,0.13573843228845683,-241.4619047619048,-0.09551013642690717
건축관,naive_last_week_same_weekday,pred_naive_last_week_same_weekday_kwh,pred_naive_last_week_same_weekday_kwh,70,72933.0,72804.0,1041.9,206.5857142857143,247.85292297766316,0.1982778714710762,0.19827787147107617,-1.8428571428571427,-0.0017687466578914894
기계관,naive_last_week_same_weekday,pred_naive_last_week_same_weekday_kwh,pred_naive_last_week_same_weekday_kwh,70,136365.0,132143.0,1948.0714285714287,304.0,435.69228984292505,0.15605177281560517,0.15605177281560517,-60.31428571428572,-0.0309610237230961
박물관,naive_last_week_same_weekday,pred_naive_last_week_same_weekday_kwh,pred_naive_last_week_same_weekday_kwh,70,42142.0,40882.0,602.0285714285715,78.94285714285714,106.6079600351547,0.13112809074082862,0.1311280907408286,-18.0,-0.02989891319823454
사범대학,naive_last_week_same_weekday,pred_naive_last_week_same_weekday_kwh,pred_naive_last_week_same_weekday_kwh,70,65392.0,65652.0,934.1714285714286,125.11428571428571,175.4961945049359,0.13393075605578664,0.13393075605578664,3.7142857142857144,0.003976021531685833
