rank,round,days,baseline_kwh,actual_kwh,avoided_kwh,avoided_pct,avoided_per_sqm_kwh
1,2주차 (06-08~06-14),7,522755.11,512490.96,10264.15,0.019635,0.0229
2,1주차 (06-01~06-07),7,512821.67,510731.28,2090.39,0.004076,0.0047
3,3주차 (06-15~06-20),6,470571.2,483659.28,-13088.08,-0.027813,-0.0292
