timestamp,report_date,hour,rank,feature,feature_label_ko,shap_value_kwh,feature_value,direction
2026-06-01 17:00:00,2026-06-01,17,1,day_of_week,요일,328.48260158560845,0.0,up
2026-06-01 17:00:00,2026-06-01,17,2,school_lag_168h_kwh,1주 전 같은시간 사용량,-260.83941352166306,2790.72,down
2026-06-01 17:00:00,2026-06-01,17,3,school_lag_24h_kwh,24시간 전 사용량,-222.9778975659249,2676.96,down
2026-06-01 17:00:00,2026-06-01,17,4,school_same_hour_7d_mean_kwh,최근 7일 같은시간 평균,79.33430728123436,3399.9428571428575,up
2026-06-01 17:00:00,2026-06-01,17,5,hour,시간,57.60352413206709,17.0,up
2026-06-01 18:00:00,2026-06-01,18,1,school_lag_168h_kwh,1주 전 같은시간 사용량,-360.4448166097987,2665.44,down
2026-06-01 18:00:00,2026-06-01,18,2,day_of_week,요일,294.8286516789587,0.0,up
2026-06-01 18:00:00,2026-06-01,18,3,school_lag_24h_kwh,24시간 전 사용량,-204.24180245837266,2630.88,down
2026-06-01 18:00:00,2026-06-01,18,4,hour_cos,시간 주기(cos),-66.48967029075409,-1.8369701987210297e-16,down
2026-06-01 18:00:00,2026-06-01,18,5,hour,시간,56.001003200666794,18.0,up
2026-06-01 19:00:00,2026-06-01,19,1,school_lag_168h_kwh,1주 전 같은시간 사용량,-364.0180568134837,2646.72,down
2026-06-01 19:00:00,2026-06-01,19,2,day_of_week,요일,283.63879486488213,0.0,up
2026-06-01 19:00:00,2026-06-01,19,3,school_lag_24h_kwh,24시간 전 사용량,-207.19829870889333,2618.64,down
2026-06-01 19:00:00,2026-06-01,19,4,hour_cos,시간 주기(cos),-70.3608826730582,0.2588190451025203,down
2026-06-01 19:00:00,2026-06-01,19,5,hour,시간,46.32443967291841,19.0,up
2026-06-01 20:00:00,2026-06-01,20,1,school_lag_168h_kwh,1주 전 같은시간 사용량,-370.7023807781729,2638.08,down
2026-06-01 20:00:00,2026-06-01,20,2,day_of_week,요일,245.2732450355423,0.0,up
2026-06-01 20:00:00,2026-06-01,20,3,school_lag_24h_kwh,24시간 전 사용량,-227.11547185015942,2562.48,down
2026-06-01 20:00:00,2026-06-01,20,4,hour_cos,시간 주기(cos),-84.79371182364311,0.5000000000000001,down
2026-06-01 20:00:00,2026-06-01,20,5,school_same_hour_7d_mean_kwh,최근 7일 같은시간 평균,-70.22093754845955,2847.085714285714,down
2026-06-01 21:00:00,2026-06-01,21,1,school_lag_168h_kwh,1주 전 같은시간 사용량,-435.7522046166814,2566.8,down
2026-06-01 21:00:00,2026-06-01,21,2,school_lag_24h_kwh,24시간 전 사용량,-283.92165247213353,2501.28,down
2026-06-01 21:00:00,2026-06-01,21,3,day_of_week,요일,199.6518316705634,0.0,up
2026-06-01 21:00:00,2026-06-01,21,4,school_same_hour_7d_mean_kwh,최근 7일 같은시간 평균,-141.63600404727154,2657.211428571429,down
2026-06-01 21:00:00,2026-06-01,21,5,hour_cos,시간 주기(cos),-89.696707718966,0.7071067811865474,down
2026-06-04 07:00:00,2026-06-04,7,1,school_lag_24h_kwh,24시간 전 사용량,-492.2044057403625,2251.44,down
2026-06-04 07:00:00,2026-06-04,7,2,school_lag_168h_kwh,1주 전 같은시간 사용량,-418.99013877825655,2491.2,down
2026-06-04 07:00:00,2026-06-04,7,3,school_same_hour_7d_mean_kwh,최근 7일 같은시간 평균,-141.564657682069,2346.48,down
2026-06-04 07:00:00,2026-06-04,7,4,weather_temp_mean_c,평균기온,-47.929111485680835,23.0,down
2026-06-04 07:00:00,2026-06-04,7,5,weather_temp_min_c,최저기온,-36.4964475029734,18.0,down
2026-06-04 08:00:00,2026-06-04,8,1,school_lag_24h_kwh,24시간 전 사용량,-547.7814856237219,2230.56,down
2026-06-04 08:00:00,2026-06-04,8,2,school_same_hour_7d_mean_kwh,최근 7일 같은시간 평균,-153.41526037994365,2660.194285714286,down
2026-06-04 08:00:00,2026-06-04,8,3,school_lag_168h_kwh,1주 전 같은시간 사용량,-112.86898529689913,3004.56,down
2026-06-04 08:00:00,2026-06-04,8,4,academic_days_to_final,기말까지 일수,57.95639314571157,11.0,up
2026-06-04 08:00:00,2026-06-04,8,5,weather_temp_mean_c,평균기온,-54.19501384608672,23.0,down
2026-06-04 09:00:00,2026-06-04,9,1,school_lag_24h_kwh,24시간 전 사용량,-583.534807658856,2367.36,down
2026-06-04 09:00:00,2026-06-04,9,2,school_lag_168h_kwh,1주 전 같은시간 사용량,347.7214893041229,3807.36,up
2026-06-04 09:00:00,2026-06-04,9,3,weather_temp_min_c,최저기온,-78.48002374242171,18.0,down
2026-06-04 09:00:00,2026-06-04,9,4,weather_temp_mean_c,평균기온,-68.37938530861119,23.0,down
2026-06-04 09:00:00,2026-06-04,9,5,hour_cos,시간 주기(cos),67.35777221348106,-0.7071067811865475,up
2026-06-04 10:00:00,2026-06-04,10,1,school_lag_24h_kwh,24시간 전 사용량,-532.2825011918975,2499.12,down
2026-06-04 10:00:00,2026-06-04,10,2,school_lag_168h_kwh,1주 전 같은시간 사용량,333.51123309234515,4098.24,up
2026-06-04 10:00:00,2026-06-04,10,3,hour_cos,시간 주기(cos),118.7700048560866,-0.8660254037844387,up
2026-06-04 10:00:00,2026-06-04,10,4,weather_temp_min_c,최저기온,-89.24453978265883,18.0,down
2026-06-04 10:00:00,2026-06-04,10,5,weather_temp_mean_c,평균기온,-72.26177272089646,23.0,down
2026-06-04 11:00:00,2026-06-04,11,1,school_lag_24h_kwh,24시간 전 사용량,-418.65893738297495,2673.36,down
2026-06-04 11:00:00,2026-06-04,11,2,school_lag_168h_kwh,1주 전 같은시간 사용량,350.7244419301911,4366.8,up
2026-06-04 11:00:00,2026-06-04,11,3,hour_cos,시간 주기(cos),124.37887146559174,-0.9659258262890682,up
2026-06-04 11:00:00,2026-06-04,11,4,weather_temp_min_c,최저기온,-91.45774766171725,18.0,down
2026-06-04 11:00:00,2026-06-04,11,5,weather_temp_mean_c,평균기온,-71.22968864629227,23.0,down
2026-06-04 12:00:00,2026-06-04,12,1,school_lag_24h_kwh,24시간 전 사용량,-399.6967088709554,2743.2,down
2026-06-04 12:00:00,2026-06-04,12,2,school_lag_168h_kwh,1주 전 같은시간 사용량,340.50876790889805,4472.64,up
2026-06-04 12:00:00,2026-06-04,12,3,hour_cos,시간 주기(cos),100.32241669724479,-1.0,up
2026-06-04 12:00:00,2026-06-04,12,4,weather_temp_min_c,최저기온,-85.87918150980033,18.0,down
2026-06-04 12:00:00,2026-06-04,12,5,weather_temp_mean_c,평균기온,-70.20855538863894,23.0,down
2026-06-04 13:00:00,2026-06-04,13,1,school_lag_168h_kwh,1주 전 같은시간 사용량,368.96281026212745,4854.24,up
2026-06-04 13:00:00,2026-06-04,13,2,school_lag_24h_kwh,24시간 전 사용량,-346.27868366854443,2909.52,down
2026-06-04 13:00:00,2026-06-04,13,3,hour_cos,시간 주기(cos),124.31410949593689,-0.9659258262890683,up
2026-06-04 13:00:00,2026-06-04,13,4,school_same_hour_7d_mean_kwh,최근 7일 같은시간 평균,107.80169203380909,3927.702857142857,up
2026-06-04 13:00:00,2026-06-04,13,5,weather_temp_min_c,최저기온,-85.98117717021105,18.0,down
2026-06-04 14:00:00,2026-06-04,14,1,school_lag_168h_kwh,1주 전 같은시간 사용량,360.1282035117714,4806.72,up
2026-06-04 14:00:00,2026-06-04,14,2,school_lag_24h_kwh,24시간 전 사용량,-337.17276606047926,2944.08,down
2026-06-04 14:00:00,2026-06-04,14,3,hour_cos,시간 주기(cos),121.8138012391516,-0.8660254037844388,up
2026-06-04 14:00:00,2026-06-04,14,4,school_same_hour_7d_mean_kwh,최근 7일 같은시간 평균,108.66242596063007,3920.194285714286,up
