date,report_month,year,month,day,selection_tier,building_name_recent,building_name_long_term,usage_kwh_raw,usage_kwh,usage_kwh_clean,usage_kwh_imputed_continuous,cleaning_action,was_imputed_in_clean,is_original_value_reliable,is_validation_target_strict,is_validation_target_clean,is_continuity_only,is_placeholder_zero,is_partial_day,is_known_extreme_outlier,is_suspect_zero,is_auto_high_outlier,replacement_value_kwh,replacement_source_day_count,replacement_mean_kwh,replacement_median_kwh,positive_count,positive_median_kwh,positive_mean_kwh,positive_q1_kwh,positive_q3_kwh,positive_iqr_kwh,mapping_confidence,review_required,duplicate_group,zero_rate_recent,source_file,source_section,source_row_index_1based
2026-06-28,2026-06,2026,6,28,primary_reliable,사범대학,사범대학,0,,,1018.2608695652174,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,1018.2608695652174,23,1018.2608695652174,1122.0,23,1122.0,1018.2608695652174,820.5,1186.5,366.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,132
2026-06-29,2026-06,2026,6,29,primary_reliable,사범대학,사범대학,0,,,1018.2608695652174,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,1018.2608695652174,23,1018.2608695652174,1122.0,23,1122.0,1018.2608695652174,820.5,1186.5,366.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,133
2026-06-30,2026-06,2026,6,30,primary_reliable,사범대학,사범대학,0,,,1018.2608695652174,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,1018.2608695652174,23,1018.2608695652174,1122.0,23,1122.0,1018.2608695652174,820.5,1186.5,366.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,134
2026-06-24,2026-06,2026,6,24,primary_reliable,상경관,상경관,893,893.0,2446.782608695652,2446.782608695652,partial_day_replaced_by_building_month_mean,True,False,False,False,True,False,True,False,False,False,2446.782608695652,23,2446.782608695652,2563.0,23,2563.0,2446.782608695652,1663.5,3125.5,1462.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,128
2026-06-25,2026-06,2026,6,25,primary_reliable,상경관,상경관,0,,,2446.782608695652,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,2446.782608695652,23,2446.782608695652,2563.0,23,2563.0,2446.782608695652,1663.5,3125.5,1462.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,129
2026-06-26,2026-06,2026,6,26,primary_reliable,상경관,상경관,0,,,2446.782608695652,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,2446.782608695652,23,2446.782608695652,2563.0,23,2563.0,2446.782608695652,1663.5,3125.5,1462.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,130
2026-06-27,2026-06,2026,6,27,primary_reliable,상경관,상경관,0,,,2446.782608695652,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,2446.782608695652,23,2446.782608695652,2563.0,23,2563.0,2446.782608695652,1663.5,3125.5,1462.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,131
2026-06-28,2026-06,2026,6,28,primary_reliable,상경관,상경관,0,,,2446.782608695652,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,2446.782608695652,23,2446.782608695652,2563.0,23,2563.0,2446.782608695652,1663.5,3125.5,1462.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,132
2026-06-29,2026-06,2026,6,29,primary_reliable,상경관,상경관,0,,,2446.782608695652,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,2446.782608695652,23,2446.782608695652,2563.0,23,2563.0,2446.782608695652,1663.5,3125.5,1462.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,133
2026-06-30,2026-06,2026,6,30,primary_reliable,상경관,상경관,0,,,2446.782608695652,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,2446.782608695652,23,2446.782608695652,2563.0,23,2563.0,2446.782608695652,1663.5,3125.5,1462.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,134
