metric_level,prediction_method,building_name_recent,n_days,actual_sum_kwh_clean,pred_sum_kwh,mae_kwh,rmse_kwh,mape,bias_kwh_mean,bias_pct_sum,report_month
building_total_2026-04-01_to_2026-06-23,baseline_uniform_daily_kwh,건축관,84.0,86971.0,78218.01666666669,225.9352086533538,280.0970604505924,0.21791568003560127,-104.20218253968254,-0.10064255134853352,
building_total_2026-04-01_to_2026-06-23,baseline_uniform_daily_kwh,기계관,84.0,162841.0,168176.26666666666,390.61240399385565,482.40952480500346,0.23577664125373338,63.51507936507939,0.03276365698237337,
building_total_2026-04-01_to_2026-06-23,baseline_uniform_daily_kwh,박물관,84.0,50529.0,58972.66666666667,148.57552483358938,193.30270616121942,0.2624759919823396,100.51984126984131,0.16710535863893353,
building_total_2026-04-01_to_2026-06-23,baseline_uniform_daily_kwh,사범대학,84.0,78802.0,76233.33333333336,166.97311827956986,192.25896483114911,0.18870549481424523,-30.57936507936506,-0.03259646540273905,
building_total_2026-04-01_to_2026-06-23,baseline_uniform_daily_kwh,상경관,84.0,171864.0,181300.0,460.3794162826421,590.537121750952,0.2767473289020873,112.33333333333329,0.05490387748452265,
building_total_2026-04-01_to_2026-06-23,baseline_uniform_daily_kwh,생활과학대,84.0,96063.0,84688.28333333334,223.1700780849974,269.20134774152484,0.18985277739171116,-135.4132936507937,-0.11840892608669998,
building_total_2026-04-01_to_2026-06-23,baseline_uniform_daily_kwh,섬유관,84.0,93516.0,90207.56666666665,179.7167050691244,206.7030708490351,0.1664185514594154,-39.38611111111107,-0.03537825969174632,
building_total_2026-04-01_to_2026-06-23,baseline_uniform_daily_kwh,외국어교육원,84.0,38542.0,35665.0,141.13504864311315,147.56710095124225,0.3559756780037609,-34.24999999999999,-0.07464584090083545,
building_total_2026-04-01_to_2026-06-23,baseline_uniform_daily_kwh,음대,84.0,50904.0,51950.0,84.3379416282642,108.2368221882893,0.1492308054260385,12.452380952380947,0.020548483419770548,
building_total_2026-04-01_to_2026-06-23,baseline_uniform_daily_kwh,인문계식당,84.0,33526.0,23418.333333333336,176.02931387608805,201.33502000375208,0.43246301431009104,-120.32936507936509,-0.301487402811748,
building_total_2026-04-01_to_2026-06-23,baseline_uniform_daily_kwh,전기관,84.0,95905.33333333334,86802.58333333334,202.8762480798771,243.20140573334604,0.27835792848716584,-108.36607142857144,-0.09491390815943498,
building_total_2026-04-01_to_2026-06-23,baseline_uniform_daily_kwh,제1공장형실습장,84.0,65402.0,65583.33333333333,115.058115719406,146.1779013256752,0.15402786775590815,2.1587301587301306,0.002772596148945422,
building_total_2026-04-01_to_2026-06-23,baseline_uniform_daily_kwh,제1과학관,84.0,222866.43181818182,222093.64999999997,338.7868907973746,456.95653937740764,0.1681541451639884,-9.199783549783428,-0.003467466194336107,
building_total_2026-04-01_to_2026-06-23,baseline_uniform_daily_kwh,제2공장형실습장,84.0,35782.0,31388.33333333334,141.02240143369175,160.39861127535136,0.36360255200330877,-52.305555555555536,-0.12278985709760942,
