building_name_recent,building_name_long_term,mapping_confidence,mapping_note,review_required,recent_months,first_recent_month,last_recent_month,long_term_months,first_long_term_month,last_long_term_month,non_null_monthly_usage_count,negative_usage_count,recent_rows,valid_recent_days,non_null_usage_days,partial_day_rows,placeholder_rows,observed_zero_days,first_recent_date,last_recent_date,valid_days_for_zero_rate,zero_days_for_zero_rate,positive_median_recent_kwh,recent_median_kwh,recent_mean_kwh,recent_max_kwh,zero_rate_recent,max_to_positive_median_ratio,known_outlier_count,partial_day_outlier_count,nonpartial_known_outlier_count,duplicate_group,has_duplicate_daily_sequence,high_confidence_no_review,long_term_monthly_clean,recent_daily_sufficient,zero_rate_acceptable,nonpartial_outlier_clean,is_major_interest,selected_primary,selected_review_optional_major,selection_tier,selection_reason_ko
건축관,공대건축관,high,공대 prefix removed,False,6,2026-01,2026-06,29,2024-01,2026-05,28,0,91,84,85,1,6,0,2026-04-01,2026-06-30,84,0,1032.5,1032.5,1035.3690476190477,1830.0,0.0,1.7723970944309928,0,0,0,,False,True,True,True,True,True,False,True,False,primary_reliable,"기본 사용 권장: 고신뢰 매핑, 장기 월별 음수 없음, 동일 시퀀스 중복 없음, 최근 일별 결측/부분일 제외 후 84일 확보, 관측 0값 비율 10% 이하, 비부분일 극단값 없음"
기계관,공대기계관,high,공대 prefix removed,False,6,2026-01,2026-06,29,2024-01,2026-05,28,0,91,84,85,1,6,0,2026-04-01,2026-06-30,84,0,1999.5,1999.5,1938.5833333333333,3295.0,0.0,1.6479119779944986,0,0,0,,False,True,True,True,True,True,False,True,False,primary_reliable,"기본 사용 권장: 고신뢰 매핑, 장기 월별 음수 없음, 동일 시퀀스 중복 없음, 최근 일별 결측/부분일 제외 후 84일 확보, 관측 0값 비율 10% 이하, 비부분일 극단값 없음"
박물관,박물관,high,exact match,False,6,2026-01,2026-06,29,2024-01,2026-05,28,0,91,84,85,1,6,0,2026-04-01,2026-06-30,84,0,599.5,599.5,601.5357142857143,845.0,0.0,1.4095079232693912,0,0,0,,False,True,True,True,True,True,False,True,False,primary_reliable,"기본 사용 권장: 고신뢰 매핑, 장기 월별 음수 없음, 동일 시퀀스 중복 없음, 최근 일별 결측/부분일 제외 후 84일 확보, 관측 0값 비율 10% 이하, 비부분일 극단값 없음"
사범대학,사범대학,high,exact match,False,6,2026-01,2026-06,29,2024-01,2026-05,28,0,91,84,85,1,6,0,2026-04-01,2026-06-30,84,0,968.0,968.0,938.1190476190476,1334.0,0.0,1.378099173553719,0,0,0,,False,True,True,True,True,True,False,True,False,primary_reliable,"기본 사용 권장: 고신뢰 매핑, 장기 월별 음수 없음, 동일 시퀀스 중복 없음, 최근 일별 결측/부분일 제외 후 84일 확보, 관측 0값 비율 10% 이하, 비부분일 극단값 없음"
상경관,상경관,high,exact match,False,6,2026-01,2026-06,29,2024-01,2026-05,28,0,91,84,85,1,6,0,2026-04-01,2026-06-30,84,0,2054.0,2054.0,2046.0,3445.0,0.0,1.6772151898734178,0,0,0,,False,True,True,True,True,True,False,True,False,primary_reliable,"기본 사용 권장: 고신뢰 매핑, 장기 월별 음수 없음, 동일 시퀀스 중복 없음, 최근 일별 결측/부분일 제외 후 84일 확보, 관측 0값 비율 10% 이하, 비부분일 극단값 없음"
생활과학대,생활과학대학,high,name variant,False,6,2026-01,2026-06,29,2024-01,2026-05,28,0,91,84,85,1,6,0,2026-04-01,2026-06-30,84,0,1130.5,1130.5,1143.607142857143,1666.0,0.0,1.4736842105263157,0,0,0,,False,True,True,True,True,True,False,True,False,primary_reliable,"기본 사용 권장: 고신뢰 매핑, 장기 월별 음수 없음, 동일 시퀀스 중복 없음, 최근 일별 결측/부분일 제외 후 84일 확보, 관측 0값 비율 10% 이하, 비부분일 극단값 없음"
섬유관,공대섬유관,high,공대 prefix removed,False,6,2026-01,2026-06,29,2024-01,2026-05,28,0,91,84,85,1,6,0,2026-04-01,2026-06-30,84,0,1151.0,1151.0,1113.2857142857142,1557.0,0.0,1.3527367506516073,0,0,0,,False,True,True,True,True,True,False,True,False,primary_reliable,"기본 사용 권장: 고신뢰 매핑, 장기 월별 음수 없음, 동일 시퀀스 중복 없음, 최근 일별 결측/부분일 제외 후 84일 확보, 관측 0값 비율 10% 이하, 비부분일 극단값 없음"
외국어교육원,외국어교육원,high,exact match,False,6,2026-01,2026-06,29,2024-01,2026-05,28,0,91,84,85,1,6,0,2026-04-01,2026-06-30,84,0,519.0,519.0,458.8333333333333,674.0,0.0,1.298651252408478,0,0,0,,False,True,True,True,True,True,False,True,False,primary_reliable,"기본 사용 권장: 고신뢰 매핑, 장기 월별 음수 없음, 동일 시퀀스 중복 없음, 최근 일별 결측/부분일 제외 후 84일 확보, 관측 0값 비율 10% 이하, 비부분일 극단값 없음"
음대,음악대학,high,name variant,False,6,2026-01,2026-06,29,2024-01,2026-05,28,0,91,84,85,1,6,0,2026-04-01,2026-06-30,84,0,625.0,625.0,606.0,839.0,0.0,1.3424,0,0,0,,False,True,True,True,True,True,False,True,False,primary_reliable,"기본 사용 권장: 고신뢰 매핑, 장기 월별 음수 없음, 동일 시퀀스 중복 없음, 최근 일별 결측/부분일 제외 후 84일 확보, 관측 0값 비율 10% 이하, 비부분일 극단값 없음"
인문계식당,인문계식당,high,exact match,False,6,2026-01,2026-06,29,2024-01,2026-05,28,0,91,84,85,1,6,0,2026-04-01,2026-06-30,84,0,407.0,407.0,399.1190476190476,756.0,0.0,1.8574938574938575,0,0,0,,False,True,True,True,True,True,False,True,False,primary_reliable,"기본 사용 권장: 고신뢰 매핑, 장기 월별 음수 없음, 동일 시퀀스 중복 없음, 최근 일별 결측/부분일 제외 후 84일 확보, 관측 0값 비율 10% 이하, 비부분일 극단값 없음"
전기관,공대전기관,high,공대 prefix removed,False,6,2026-01,2026-06,29,2024-01,2026-05,28,0,91,84,85,1,6,5,2026-04-01,2026-06-30,84,5,1222.0,1202.0,1161.9166666666667,5531.0,0.05952380952380952,4.526186579378069,0,0,0,,False,True,True,True,True,True,True,True,False,primary_reliable,"기본 사용 권장: 고신뢰 매핑, 장기 월별 음수 없음, 동일 시퀀스 중복 없음, 최근 일별 결측/부분일 제외 후 84일 확보, 관측 0값 비율 10% 이하, 비부분일 극단값 없음"
제1공장형실습장,자동차관(구:제1공장형실습장),high,former-name match,False,6,2026-01,2026-06,29,2024-01,2026-05,28,0,91,84,85,1,6,0,2026-04-01,2026-06-30,84,0,747.5,747.5,778.5952380952381,1163.0,0.0,1.5558528428093645,0,0,0,,False,True,True,True,True,True,False,True,False,primary_reliable,"기본 사용 권장: 고신뢰 매핑, 장기 월별 음수 없음, 동일 시퀀스 중복 없음, 최근 일별 결측/부분일 제외 후 84일 확보, 관측 0값 비율 10% 이하, 비부분일 극단값 없음"
제1과학관,제1과학관,high,exact match,False,6,2026-01,2026-06,29,2024-01,2026-05,28,0,91,84,85,1,6,6,2026-04-01,2026-06-30,84,5,2751.0,2741.0,2732.095238095238,18922.0,0.05952380952380952,6.878226099600146,0,0,0,,False,True,True,True,True,True,False,True,False,primary_reliable,"기본 사용 권장: 고신뢰 매핑, 장기 월별 음수 없음, 동일 시퀀스 중복 없음, 최근 일별 결측/부분일 제외 후 84일 확보, 관측 0값 비율 10% 이하, 비부분일 극단값 없음"
제2공장형실습장,제2공장형실습장,high,exact match,False,6,2026-01,2026-06,29,2024-01,2026-05,28,0,91,84,85,1,6,0,2026-04-01,2026-06-30,84,0,449.0,449.0,425.9761904761905,721.0,0.0,1.6057906458797326,0,0,0,,False,True,True,True,True,True,False,True,False,primary_reliable,"기본 사용 권장: 고신뢰 매핑, 장기 월별 음수 없음, 동일 시퀀스 중복 없음, 최근 일별 결측/부분일 제외 후 84일 확보, 관측 0값 비율 10% 이하, 비부분일 극단값 없음"
제2인문관,제2인문관,high,exact match,False,6,2026-01,2026-06,29,2024-01,2026-05,28,0,91,84,85,1,6,0,2026-04-01,2026-06-30,84,0,269.5,269.5,261.1666666666667,425.0,0.0,1.5769944341372912,0,0,0,,False,True,True,True,True,True,True,True,False,primary_reliable,"기본 사용 권장: 고신뢰 매핑, 장기 월별 음수 없음, 동일 시퀀스 중복 없음, 최근 일별 결측/부분일 제외 후 84일 확보, 관측 0값 비율 10% 이하, 비부분일 극단값 없음"
제3과학관,제3과학관,high,exact match,False,6,2026-01,2026-06,29,2024-01,2026-05,28,0,91,84,85,1,6,0,2026-04-01,2026-06-30,84,0,851.5,851.5,906.3095238095239,1492.0,0.0,1.7522019964768056,0,0,0,,False,True,True,True,True,True,False,True,False,primary_reliable,"기본 사용 권장: 고신뢰 매핑, 장기 월별 음수 없음, 동일 시퀀스 중복 없음, 최근 일별 결측/부분일 제외 후 84일 확보, 관측 0값 비율 10% 이하, 비부분일 극단값 없음"
화공관,공대화공관,high,공대 prefix removed,False,6,2026-01,2026-06,29,2024-01,2026-05,28,0,91,84,85,1,6,0,2026-04-01,2026-06-30,84,0,2551.5,2551.5,2519.9523809523807,3379.0,0.0,1.3243190280227317,0,0,0,,False,True,True,True,True,True,True,True,False,primary_reliable,"기본 사용 권장: 고신뢰 매핑, 장기 월별 음수 없음, 동일 시퀀스 중복 없음, 최근 일별 결측/부분일 제외 후 84일 확보, 관측 0값 비율 10% 이하, 비부분일 극단값 없음"
IT관,IT관,medium,exact name but recent values duplicate another column,True,6,2026-01,2026-06,29,2024-01,2026-05,28,0,91,84,85,1,6,0,2026-04-01,2026-06-30,84,0,2241.5,2241.5,2370.6428571428573,3660.0,0.0,1.6328351550301137,0,0,0,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,True,False,True,True,True,True,True,False,True,review_optional_major,"주요 관심 건물이므로 별도 optional 파일에 보존; 매핑 검토 필요: confidence=medium, review_required=True; 최근 일별 시퀀스가 다른 건물과 완전히 동일: group_1: IT관 | 중앙기기센터분관 | 학생지원센터"
과학도서관,과학도서관,high,exact match,False,6,2026-01,2026-06,29,2024-01,2026-05,28,0,91,84,85,1,6,62,2026-04-01,2026-06-30,84,62,8388.0,0.0,2097.2380952380954,16777.0,0.7380952380952381,2.0001192179303766,1,1,0,,False,True,True,True,False,True,True,False,True,review_optional_major,주요 관심 건물이므로 별도 optional 파일에 보존; 관측 0값 비율 높음: zero_rate_recent=0.738
정보전산원,정보전산원,high,exact match,False,6,2026-01,2026-06,29,2024-01,2026-05,28,0,91,84,85,1,6,25,2026-04-01,2026-06-30,84,25,3218.0,2882.0,2723.0476190476193,16777.0,0.2976190476190476,5.213486637663145,1,1,0,,False,True,True,True,False,True,True,False,True,review_optional_major,주요 관심 건물이므로 별도 optional 파일에 보존; 관측 0값 비율 높음: zero_rate_recent=0.298
제1인문관심야,인문관,medium,appears to correspond to 인문관 meter; 심야 label requires confirmation,True,6,2026-01,2026-06,29,2024-01,2026-05,28,0,91,84,85,1,6,0,2026-04-01,2026-06-30,84,0,786.0,786.0,68196.34523809524,5657461.0,0.0,7197.787531806615,1,0,1,,False,False,True,True,True,False,True,False,True,review_optional_major,"주요 관심 건물이므로 별도 optional 파일에 보존; 매핑 검토 필요: confidence=medium, review_required=True; 부분일이 아닌 날짜의 극단값 존재: 1건"
중앙도서관,중앙도서관,medium,exact name but recent values duplicate another column,True,6,2026-01,2026-06,29,2024-01,2026-05,28,0,91,84,85,1,6,3,2026-04-01,2026-06-30,84,3,1212.0,1202.0,1154.1904761904761,5531.0,0.03571428571428571,4.563531353135313,0,0,0,group_2: 중앙도서관 | 천마아트센터,True,False,True,True,True,True,True,False,True,review_optional_major,"주요 관심 건물이므로 별도 optional 파일에 보존; 매핑 검토 필요: confidence=medium, review_required=True; 최근 일별 시퀀스가 다른 건물과 완전히 동일: group_2: 중앙도서관 | 천마아트센터"
국제관,법학전문도서관(구:국제관),medium,former-name match; usage purpose may have changed,True,6,2026-01,2026-06,29,2024-01,2026-05,28,0,91,84,85,1,6,0,2026-04-01,2026-06-30,84,0,1019.5,1019.5,965.3928571428571,1207.0,0.0,1.1839136831780284,0,0,0,,False,False,True,True,True,True,False,False,False,excluded,"기본 분석 제외; 매핑 검토 필요: confidence=medium, review_required=True"
국제교류센터,국제교류센타(구:종합복지관),high,센타/센터 spelling variant,False,6,2026-01,2026-06,29,2024-01,2026-05,28,1,91,84,85,1,6,0,2026-04-01,2026-06-30,84,0,1881.0,1881.0,1826.9761904761904,2146.0,0.0,1.140882509303562,0,0,0,,False,True,False,True,True,True,False,False,False,excluded,"기본 분석 제외; 장기 월별 검토 필요: negative_usage_count=1, non_null_monthly_usage_count=28"
본관동,본부본관,medium,name variant,True,6,2026-01,2026-06,29,2024-01,2026-05,28,0,91,84,85,1,6,0,2026-04-01,2026-06-30,84,0,1051.5,1051.5,1049.5714285714287,1620.0,0.0,1.5406562054208275,0,0,0,,False,False,True,True,True,True,False,False,False,excluded,"기본 분석 제외; 매핑 검토 필요: confidence=medium, review_required=True"
산학협동관,로봇관(구:산학협동관),medium,former-name match,True,6,2026-01,2026-06,29,2024-01,2026-05,28,0,91,84,85,1,6,0,2026-04-01,2026-06-30,84,0,780.0,780.0,798.5595238095239,1236.0,0.0,1.5846153846153845,0,0,0,,False,False,True,True,True,True,False,False,False,excluded,"기본 분석 제외; 매핑 검토 필요: confidence=medium, review_required=True"
생산기술원,생산기술연구원,medium,name variant,True,6,2026-01,2026-06,29,2024-01,2026-05,28,0,91,84,85,1,6,0,2026-04-01,2026-06-30,84,0,1395.5,1395.5,1395.2380952380952,1848.0,0.0,1.3242565388749552,0,0,0,,False,False,True,True,True,True,False,False,False,excluded,"기본 분석 제외; 매핑 검토 필요: confidence=medium, review_required=True"
소재관,공대소재관,high,공대 prefix removed,False,6,2026-01,2026-06,29,2024-01,2026-05,28,1,91,84,85,1,6,0,2026-04-01,2026-06-30,84,0,2066.5,2066.5,2050.6666666666665,2736.0,0.0,1.3239777401403339,0,0,0,,False,True,False,True,True,True,False,False,False,excluded,"기본 분석 제외; 장기 월별 검토 필요: negative_usage_count=1, non_null_monthly_usage_count=28"
약학대,약학관(신축),medium,long-term 약학대학 row is non-numeric; 2026 values match 약학관(신축) pattern less well for Jan but this is the usable row,True,6,2026-01,2026-06,29,2024-01,2026-05,28,0,91,84,85,1,6,0,2026-04-01,2026-06-30,84,0,4094.0,4094.0,4130.678571428572,5660.0,0.0,1.3825109916951637,0,0,0,,False,False,True,True,True,True,False,False,False,excluded,"기본 분석 제외; 매핑 검토 필요: confidence=medium, review_required=True"
중앙기기센터분관,중앙기기센터분관,medium,exact name but recent values duplicate another column,True,6,2026-01,2026-06,29,2024-01,2026-05,28,0,91,84,85,1,6,0,2026-04-01,2026-06-30,84,0,2241.5,2241.5,2370.6428571428573,3660.0,0.0,1.6328351550301137,0,0,0,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,True,False,True,True,True,True,False,False,False,excluded,"기본 분석 제외; 매핑 검토 필요: confidence=medium, review_required=True; 최근 일별 시퀀스가 다른 건물과 완전히 동일: group_1: IT관 | 중앙기기센터분관 | 학생지원센터"
천마아트센터,천마아트센타,medium,센타/센터 spelling variant; values need review,True,6,2026-01,2026-06,29,2024-01,2026-05,28,0,91,84,85,1,6,3,2026-04-01,2026-06-30,84,3,1212.0,1202.0,1154.1904761904761,5531.0,0.03571428571428571,4.563531353135313,0,0,0,group_2: 중앙도서관 | 천마아트센터,True,False,True,True,True,True,False,False,False,excluded,"기본 분석 제외; 매핑 검토 필요: confidence=medium, review_required=True; 최근 일별 시퀀스가 다른 건물과 완전히 동일: group_2: 중앙도서관 | 천마아트센터"
학생지원센터,학생지원센터,medium,exact name but recent daily/monthly values need review,True,6,2026-01,2026-06,29,2024-01,2026-05,28,0,91,84,85,1,6,0,2026-04-01,2026-06-30,84,0,2241.5,2241.5,2370.6428571428573,3660.0,0.0,1.6328351550301137,0,0,0,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,True,False,True,True,True,True,False,False,False,excluded,"기본 분석 제외; 매핑 검토 필요: confidence=medium, review_required=True; 최근 일별 시퀀스가 다른 건물과 완전히 동일: group_1: IT관 | 중앙기기센터분관 | 학생지원센터"
