building_name_recent,building_name_long_term,mapping_confidence,mapping_note,review_required,recent_months,first_recent_month,last_recent_month,long_term_months,first_long_term_month,last_long_term_month,non_null_monthly_usage_count,negative_usage_count,recent_rows,valid_recent_days,non_null_usage_days,partial_day_rows,placeholder_rows,observed_zero_days,first_recent_date,last_recent_date,valid_days_for_zero_rate,zero_days_for_zero_rate,positive_median_recent_kwh,recent_median_kwh,recent_mean_kwh,recent_max_kwh,zero_rate_recent,max_to_positive_median_ratio,known_outlier_count,partial_day_outlier_count,nonpartial_known_outlier_count,duplicate_group,has_duplicate_daily_sequence,high_confidence_no_review,long_term_monthly_clean,recent_daily_sufficient,zero_rate_acceptable,nonpartial_outlier_clean,is_major_interest,selected_primary,selected_review_optional_major,selection_tier,selection_reason_ko
IT관,IT관,medium,exact name but recent values duplicate another column,True,6,2026-01,2026-06,29,2024-01,2026-05,28,0,91,84,85,1,6,0,2026-04-01,2026-06-30,84,0,2241.5,2241.5,2370.6428571428573,3660.0,0.0,1.6328351550301137,0,0,0,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,True,False,True,True,True,True,True,False,True,review_optional_major,"주요 관심 건물이므로 별도 optional 파일에 보존; 매핑 검토 필요: confidence=medium, review_required=True; 최근 일별 시퀀스가 다른 건물과 완전히 동일: group_1: IT관 | 중앙기기센터분관 | 학생지원센터"
과학도서관,과학도서관,high,exact match,False,6,2026-01,2026-06,29,2024-01,2026-05,28,0,91,84,85,1,6,62,2026-04-01,2026-06-30,84,62,8388.0,0.0,2097.2380952380954,16777.0,0.7380952380952381,2.0001192179303766,1,1,0,,False,True,True,True,False,True,True,False,True,review_optional_major,주요 관심 건물이므로 별도 optional 파일에 보존; 관측 0값 비율 높음: zero_rate_recent=0.738
정보전산원,정보전산원,high,exact match,False,6,2026-01,2026-06,29,2024-01,2026-05,28,0,91,84,85,1,6,25,2026-04-01,2026-06-30,84,25,3218.0,2882.0,2723.0476190476193,16777.0,0.2976190476190476,5.213486637663145,1,1,0,,False,True,True,True,False,True,True,False,True,review_optional_major,주요 관심 건물이므로 별도 optional 파일에 보존; 관측 0값 비율 높음: zero_rate_recent=0.298
제1인문관심야,인문관,medium,appears to correspond to 인문관 meter; 심야 label requires confirmation,True,6,2026-01,2026-06,29,2024-01,2026-05,28,0,91,84,85,1,6,0,2026-04-01,2026-06-30,84,0,786.0,786.0,68196.34523809524,5657461.0,0.0,7197.787531806615,1,0,1,,False,False,True,True,True,False,True,False,True,review_optional_major,"주요 관심 건물이므로 별도 optional 파일에 보존; 매핑 검토 필요: confidence=medium, review_required=True; 부분일이 아닌 날짜의 극단값 존재: 1건"
중앙도서관,중앙도서관,medium,exact name but recent values duplicate another column,True,6,2026-01,2026-06,29,2024-01,2026-05,28,0,91,84,85,1,6,3,2026-04-01,2026-06-30,84,3,1212.0,1202.0,1154.1904761904761,5531.0,0.03571428571428571,4.563531353135313,0,0,0,group_2: 중앙도서관 | 천마아트센터,True,False,True,True,True,True,True,False,True,review_optional_major,"주요 관심 건물이므로 별도 optional 파일에 보존; 매핑 검토 필요: confidence=medium, review_required=True; 최근 일별 시퀀스가 다른 건물과 완전히 동일: group_2: 중앙도서관 | 천마아트센터"
