date,report_month,year,month,day,selection_tier,building_name_recent,building_name_long_term,usage_kwh_raw,usage_kwh,usage_kwh_clean,usage_kwh_imputed_continuous,cleaning_action,was_imputed_in_clean,is_original_value_reliable,is_validation_target_strict,is_validation_target_clean,is_continuity_only,is_placeholder_zero,is_partial_day,is_known_extreme_outlier,is_suspect_zero,is_auto_high_outlier,replacement_value_kwh,replacement_source_day_count,replacement_mean_kwh,replacement_median_kwh,positive_count,positive_median_kwh,positive_mean_kwh,positive_q1_kwh,positive_q3_kwh,positive_iqr_kwh,mapping_confidence,review_required,duplicate_group,zero_rate_recent,source_file,source_section,source_row_index_1based,profile_month_num,profile_monthly_kwh_mean,profile_monthly_kwh_median,profile_monthly_kwh_std,profile_monthly_kwh_min,profile_monthly_kwh_max,profile_source_month_count,profile_source_months,overall_avg_monthly_kwh,month_factor_vs_overall,calendar_days_in_month,baseline_uniform_daily_kwh,school_total_daily_kwh,school_total_is_usable,school_total_observed_month_sum_kwh,school_total_observed_day_count,school_total_month_observed_completeness,school_total_day_weight_observed_month,baseline_school_shape_kwh_observed_norm,validation_period
2026-04-11,2026-04,2026,4,11,primary_reliable,건축관,공대건축관,745,745.0,745.0,745.0,raw_kept,False,True,True,True,False,False,False,False,False,False,897.6,30,897.6,860.5,30,860.5,897.6,711.5,1089.0,377.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,47,4,24703.5,24703.5,662.559053971795,24235.0,25172.0,2,"2024-04,2025-04",32525.423076923078,0.7595135639458365,30,823.45,50041.44,True,1863198.0,30,1.0,0.02685782187400373,663.4822026644512,validation_observed_window
2026-04-12,2026-04,2026,4,12,primary_reliable,건축관,공대건축관,749,749.0,749.0,749.0,raw_kept,False,True,True,True,False,False,False,False,False,False,897.6,30,897.6,860.5,30,860.5,897.6,711.5,1089.0,377.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,48,4,24703.5,24703.5,662.559053971795,24235.0,25172.0,2,"2024-04,2025-04",32525.423076923078,0.7595135639458365,30,823.45,48188.16,True,1863198.0,30,1.0,0.025863144979760607,638.9102020075162,validation_observed_window
2026-04-13,2026-04,2026,4,13,primary_reliable,건축관,공대건축관,1102,1102.0,1102.0,1102.0,raw_kept,False,True,True,True,False,False,False,False,False,False,897.6,30,897.6,860.5,30,860.5,897.6,711.5,1089.0,377.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,49,4,24703.5,24703.5,662.559053971795,24235.0,25172.0,2,"2024-04,2025-04",32525.423076923078,0.7595135639458365,30,823.45,64185.84,True,1863198.0,30,1.0,0.034449285583174734,851.0179264039571,validation_observed_window
2026-04-14,2026-04,2026,4,14,primary_reliable,건축관,공대건축관,1022,1022.0,1022.0,1022.0,raw_kept,False,True,True,True,False,False,False,False,False,False,897.6,30,897.6,860.5,30,860.5,897.6,711.5,1089.0,377.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,50,4,24703.5,24703.5,662.559053971795,24235.0,25172.0,2,"2024-04,2025-04",32525.423076923078,0.7595135639458365,30,823.45,66288.24,True,1863198.0,30,1.0,0.03557766807392451,878.8929232641942,validation_observed_window
2026-04-15,2026-04,2026,4,15,primary_reliable,건축관,공대건축관,1026,1026.0,1026.0,1026.0,raw_kept,False,True,True,True,False,False,False,False,False,False,897.6,30,897.6,860.5,30,860.5,897.6,711.5,1089.0,377.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,51,4,24703.5,24703.5,662.559053971795,24235.0,25172.0,2,"2024-04,2025-04",32525.423076923078,0.7595135639458365,30,823.45,65622.96,True,1863198.0,30,1.0,0.03522060457342698,870.0722050796535,validation_observed_window
2026-04-16,2026-04,2026,4,16,primary_reliable,건축관,공대건축관,1107,1107.0,1107.0,1107.0,raw_kept,False,True,True,True,False,False,False,False,False,False,897.6,30,897.6,860.5,30,860.5,897.6,711.5,1089.0,377.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,52,4,24703.5,24703.5,662.559053971795,24235.0,25172.0,2,"2024-04,2025-04",32525.423076923078,0.7595135639458365,30,823.45,65127.6,True,1863198.0,30,1.0,0.034954739109853056,863.504397600255,validation_observed_window
2026-04-17,2026-04,2026,4,17,primary_reliable,건축관,공대건축관,888,888.0,888.0,888.0,raw_kept,False,True,True,True,False,False,False,False,False,False,897.6,30,897.6,860.5,30,860.5,897.6,711.5,1089.0,377.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,53,4,24703.5,24703.5,662.559053971795,24235.0,25172.0,2,"2024-04,2025-04",32525.423076923078,0.7595135639458365,30,823.45,64300.32,True,1863198.0,30,1.0,0.03451072832839022,852.5357772603878,validation_observed_window
2026-04-18,2026-04,2026,4,18,primary_reliable,건축관,공대건축관,639,639.0,639.0,639.0,raw_kept,False,True,True,True,False,False,False,False,False,False,897.6,30,897.6,860.5,30,860.5,897.6,711.5,1089.0,377.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,54,4,24703.5,24703.5,662.559053971795,24235.0,25172.0,2,"2024-04,2025-04",32525.423076923078,0.7595135639458365,30,823.45,52819.2,True,1863198.0,30,1.0,0.028348677918288875,700.3115649544492,validation_observed_window
2026-04-19,2026-04,2026,4,19,primary_reliable,건축관,공대건축관,631,631.0,631.0,631.0,raw_kept,False,True,True,True,False,False,False,False,False,False,897.6,30,897.6,860.5,30,860.5,897.6,711.5,1089.0,377.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,55,4,24703.5,24703.5,662.559053971795,24235.0,25172.0,2,"2024-04,2025-04",32525.423076923078,0.7595135639458365,30,823.45,50887.44,True,1863198.0,30,1.0,0.02731187989682256,674.6990250311561,validation_observed_window
2026-04-20,2026-04,2026,4,20,primary_reliable,건축관,공대건축관,955,955.0,955.0,955.0,raw_kept,False,True,True,True,False,False,False,False,False,False,897.6,30,897.6,860.5,30,860.5,897.6,711.5,1089.0,377.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,56,4,24703.5,24703.5,662.559053971795,24235.0,25172.0,2,"2024-04,2025-04",32525.423076923078,0.7595135639458365,30,823.45,66924.0,True,1863198.0,30,1.0,0.03591888784766836,887.3222459448754,validation_observed_window
2026-04-21,2026-04,2026,4,21,primary_reliable,건축관,공대건축관,808,808.0,808.0,808.0,raw_kept,False,True,True,True,False,False,False,False,False,False,897.6,30,897.6,860.5,30,860.5,897.6,711.5,1089.0,377.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,57,4,24703.5,24703.5,662.559053971795,24235.0,25172.0,2,"2024-04,2025-04",32525.423076923078,0.7595135639458365,30,823.45,64900.8,True,1863198.0,30,1.0,0.03483301291650163,860.497334582798,validation_observed_window
2026-04-22,2026-04,2026,4,22,primary_reliable,건축관,공대건축관,708,708.0,708.0,708.0,raw_kept,False,True,True,True,False,False,False,False,False,False,897.6,30,897.6,860.5,30,860.5,897.6,711.5,1089.0,377.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,58,4,24703.5,24703.5,662.559053971795,24235.0,25172.0,2,"2024-04,2025-04",32525.423076923078,0.7595135639458365,30,823.45,64270.08,True,1863198.0,30,1.0,0.034494498169276695,852.1348355247269,validation_observed_window
2026-04-23,2026-04,2026,4,23,primary_reliable,건축관,공대건축관,639,639.0,639.0,639.0,raw_kept,False,True,True,True,False,False,False,False,False,False,897.6,30,897.6,860.5,30,860.5,897.6,711.5,1089.0,377.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,59,4,24703.5,24703.5,662.559053971795,24235.0,25172.0,2,"2024-04,2025-04",32525.423076923078,0.7595135639458365,30,823.45,63321.84,True,1863198.0,30,1.0,0.033985566751359754,839.5624482422157,validation_observed_window
2026-04-24,2026-04,2026,4,24,primary_reliable,건축관,공대건축관,536,536.0,536.0,536.0,raw_kept,False,True,True,True,False,False,False,False,False,False,897.6,30,897.6,860.5,30,860.5,897.6,711.5,1089.0,377.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,60,4,24703.5,24703.5,662.559053971795,24235.0,25172.0,2,"2024-04,2025-04",32525.423076923078,0.7595135639458365,30,823.45,60916.32,True,1863198.0,30,1.0,0.032694496237114894,807.6684877935678,validation_observed_window
2026-04-25,2026-04,2026,4,25,primary_reliable,건축관,공대건축관,570,570.0,570.0,570.0,raw_kept,False,True,True,True,False,False,False,False,False,False,897.6,30,897.6,860.5,30,860.5,897.6,711.5,1089.0,377.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,61,4,24703.5,24703.5,662.559053971795,24235.0,25172.0,2,"2024-04,2025-04",32525.423076923078,0.7595135639458365,30,823.45,49221.36,True,1863198.0,30,1.0,0.026417675416139347,652.6090446425984,validation_observed_window
2026-04-26,2026-04,2026,4,26,primary_reliable,건축관,공대건축관,524,524.0,524.0,524.0,raw_kept,False,True,True,True,False,False,False,False,False,False,897.6,30,897.6,860.5,30,860.5,897.6,711.5,1089.0,377.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,62,4,24703.5,24703.5,662.559053971795,24235.0,25172.0,2,"2024-04,2025-04",32525.423076923078,0.7595135639458365,30,823.45,47550.96,True,1863198.0,30,1.0,0.02552115234129706,630.4617868632319,validation_observed_window
2026-04-27,2026-04,2026,4,27,primary_reliable,건축관,공대건축관,831,831.0,831.0,831.0,raw_kept,False,True,True,True,False,False,False,False,False,False,897.6,30,897.6,860.5,30,860.5,897.6,711.5,1089.0,377.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,63,4,24703.5,24703.5,662.559053971795,24235.0,25172.0,2,"2024-04,2025-04",32525.423076923078,0.7595135639458365,30,823.45,61966.8,True,1863198.0,30,1.0,0.03325830105012994,821.596439991885,validation_observed_window
2026-04-28,2026-04,2026,4,28,primary_reliable,건축관,공대건축관,866,866.0,866.0,866.0,raw_kept,False,True,True,True,False,False,False,False,False,False,897.6,30,897.6,860.5,30,860.5,897.6,711.5,1089.0,377.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,64,4,24703.5,24703.5,662.559053971795,24235.0,25172.0,2,"2024-04,2025-04",32525.423076923078,0.7595135639458365,30,823.45,63413.28,True,1863198.0,30,1.0,0.034034643661060175,840.774819681,validation_observed_window
2026-04-29,2026-04,2026,4,29,primary_reliable,건축관,공대건축관,1097,1097.0,1097.0,1097.0,raw_kept,False,True,True,True,False,False,False,False,False,False,897.6,30,897.6,860.5,30,860.5,897.6,711.5,1089.0,377.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,65,4,24703.5,24703.5,662.559053971795,24235.0,25172.0,2,"2024-04,2025-04",32525.423076923078,0.7595135639458365,30,823.45,64298.16,True,1863198.0,30,1.0,0.03450956903131069,852.5071385649835,validation_observed_window
