interval,nominal_coverage,actual_coverage,coverage_gap_actual_minus_nominal,mean_interval_width_kwh,median_interval_width_kwh
raw_90,0.9,0.7319327731092437,-0.16806722689075637,455.4915160101184,344.2245870796481
raw_80,0.8,0.6008403361344538,-0.1991596638655463,317.87038390982644,246.43808237454738
monotone_90,0.9,0.773109243697479,-0.126890756302521,473.24630709342665,356.1054774385758
monotone_80,0.8,0.5815126050420169,-0.2184873949579832,305.6138522429958,236.74345847403458
raw_quantile_crossing_rate,,0.47058823529411764,,,
