model,prediction_column,n_rows,actual_sum_kwh,pred_sum_kwh,mean_actual_kwh,mae_kwh,rmse_kwh,wape,nmae,bias_kwh_mean_pred_minus_actual,bias_pct_sum_pred_minus_actual,day_of_week
0,pred_lgbm_q50_kwh,170,205754.0,200462.74953713457,1210.3176470588235,208.0595005839196,344.29366732469146,0.17190487231969406,0.17190487231969406,-31.1250027227378,-0.025716391724415692,0
1,pred_lgbm_q50_kwh,170,207380.68181818182,207003.00255705998,1219.8863636363637,186.5940991636267,272.15548875383587,0.1529602303344122,0.1529602303344122,-2.2216427124813705,-0.001821188250566936,1
2,pred_lgbm_q50_kwh,170,206244.44444444444,206070.91614714617,1213.202614379085,142.1012796408887,227.86406273319463,0.1171290582106237,0.1171290582106237,-1.0207546899898956,-0.0008413719834525054,2
3,pred_lgbm_q50_kwh,170,218329.44444444444,206204.70500069344,1284.2908496732025,110.3281982428054,196.80057507585653,0.08590592876284935,0.08590592876284935,-71.32199672794708,-0.05553414691547129,3
4,pred_lgbm_q50_kwh,170,195557.44444444444,199089.62514750363,1150.337908496732,115.37951660085318,181.7147764329842,0.10030054277845349,0.10030054277845347,20.777533547406858,0.01806211322250438,4
5,pred_lgbm_q50_kwh,170,147962.0,156411.67492092043,870.364705882353,114.99643074442373,196.42523632496125,0.13212441861121121,0.13212441861121121,49.703970123061254,0.057107060738030124,5
6,pred_lgbm_q50_kwh,170,142279.0,138795.3483674471,836.935294117647,75.97080503812913,118.2140236780598,0.09077261476733708,0.09077261476733708,-20.49206842678183,-0.024484650809697223,6
