model,prediction_column,n_rows,actual_sum_kwh,pred_sum_kwh,mean_actual_kwh,mae_kwh,rmse_kwh,wape,nmae,bias_kwh_mean_pred_minus_actual,bias_pct_sum_pred_minus_actual
naive_seasonal_month_profile,pred_naive_seasonal_kwh,1190,1323507.0151515151,1292981.95,1112.1907690348867,210.55680799592565,295.96740635129254,0.18931716919269,0.18931716919269,-25.65131525337407,-0.023063772841446277
naive_last_week_same_weekday,pred_naive_last_week_same_weekday_kwh,1190,1323507.0151515151,1313565.3333333335,1112.1907690348867,158.43145318733553,265.86449137964246,0.14244989043095174,0.14244989043095171,-8.35435446906035,-0.0075116200400673315
current_weekday_recent_heuristic,pred_weekday_recent_kwh,1190,1323507.0151515151,1296641.439672299,1112.1907690348867,160.4360427343306,243.93309395230216,0.14425226966552726,0.14425226966552726,-22.576113848080787,-0.020298778300121487
lightgbm_quantile_q50_walk_forward,pred_lgbm_q50_kwh,1190,1323507.0151515151,1314038.0216779052,1112.1907690348867,136.20426143066376,229.54517939604983,0.12246483716894739,0.12246483716894738,-7.957137372781409,-0.007154471691656176
